,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
485256,485257,B001RVFERK,A21SYVGVNG8RAS,Jennifer Sullivan,1,1,5,1298851200,Yummy snacks!,Popchips are the bomb!!  I use the parmesan garlic to scoop up cottage cheese as a healthy alternative to chips and dip.  My healthy eating program is saved.
485257,485258,B001RVFERK,AQJYXC0MPRQJL,B. Perrin,1,1,5,1298851200,Great chip that is different from the rest,"I like the puffed nature of this chip that makes it more unique in the chip market.  I ordered the Salt and Vinegar and absolutely love that flavor, hands down my favorite chip ever.  I have tried the cheddar and regular flavors as well.  The cheddar is about a 4/5 and the regular is about a 3/5 because I prefer strong flavors and obviously that would not be the case for the regular.  The Salt and Vinegar is kind of weak compared to some regular S&V chips, but is quite flavorful and makes you wanting to come back for more."
485258,485259,B001RVFERK,A30NYUHEDLWI0Y,"Miriam ""Miriam""",1,1,5,1291852800,Great  Alternative to Potato Chips,"I just love these chips!  I was always a big fan of potato chips, but haven't had one since I discovered popchips.  They are great for dipping or all alone.  I am constantly re-ordering them.  One note however-if you are on a low salt diet these chips are probably not for you. They are high in sodium.  We go through a case every two months.  If you love them it pays to join the subscribe and save program through Amazon.  You save money and stay supplied!"
485259,485260,B001RVFERK,A2NU55U9LKTB5J,divarett,1,1,3,1286928000,Not somthing I would crave,"These tasted like potatoe stix, that we got in grade school with our lunches usually on pizza day.  They were the bomb then, not so much now.  Won't buy again unless I get them for cheap or free."
485260,485261,B001RVFERK,A225F7QFP5LIW2,ccde,1,1,5,1286236800,healthy and delicious,"These chips are great!  They look almost like a flattened rice cake, but taste so much better, more like a potato chip. The bbq flavor is delicious. They are very low in fat and full of flavor. It is easy to eat an entire bag of these!"
485261,485262,B001RVFERK,AWB39CSUQXSB3,"April ""Lighthouse""",1,1,2,1286064000,On the strong side,The flavors of these are a bit on the strong side. Wish I hadn't bought so many...I thought I would love them since parmesan and garlic are two of my favorite flavors. Oh well...
485262,485263,B001RVFERK,A1BZEHZ038EUL2,NurseLovesDeals,1,1,5,1284336000,Love these!,"I love this brand of chips. By far, I like the cheddar potato the best. Second in line is the sour cream, and third is the BBQ. I recently bought 12 bags of Cheddar on Amazon!<br />These are much better than those baked chips out on the market (in my opinion). Oh, and an FYI, these are way better than rice cakes-people keep comparing the two and I totally disagree).<br />The 0.8 oz bag is perfect single size (pretty generous actually).<br />Yummy!"
485263,485264,B001RVFERK,A8E9ZAG5Y5RKH,stephchows,1,1,5,1283817600,Like crack,"These things are like crack, I can't stop eating them!! Hence why I buy them in 12 packs :)"
485264,485265,B001RVFERK,A3W0GMJ0FYSW3J,"Alicia ""Bonita Morenita""",1,1,5,1283212800,Awesome healthIER snack option!,"I first had Popchips last week at a local deli in Miami. I was so impressed with them that I came online to find them (not even remembering the brand name) and I'm so happy that my favorite online retailer Amazon offers them. I don't necessarily want $20 worth of chips (LOL) but on the other hand, I love them so much that I do need that many so I can have half at home, and half at work (in different flavors). And I'm sure this price is much cheaper than buying them one by one at the deli I go to.<br /><br />I am a serious chip lover but am always looking for healthier alternatives. I love that these chips are low in calorie/fat but taste 10X better than baked chips. There's something about a need for salt n crunch that baked chips don't solve for me. I've found most of them to be bland, flat, weird, cracker-like. As soon as you put one of these chips in your mouth you'll realize that they're not lightweights at all. I love the salt/vinegar and was very surprised that they don't lack flavor or taste less salty/vinegar(y) than their high calorie counterparts. The crunch of the chip reminds me of a ligther alternative to a kettle chip or the General Mills chips, Bugle. I am such a fan, and now that I've found these chips on Amazon, I don't plan to buy any other kind."
485265,485266,B001RVFERK,A2HYHT45PHNIIG,"Aramat ""Aramat""",1,1,5,1283040000,Great Chip,"Our local TJ's used to carry these, but no more.  There's a Costco 30 miles away, but that seems too far to travel for a bag of chips.  I finally did the subscribe & save to get them on a more regular basis.<br /><br />I like these chips very much, they have good texture & flavor.  They hold up to dip as well.  I've tried the salt & vineger and the cheese flavors, but plain is still my favorite."
